“ú•t,“Œ‹ž•½‹Ï‹C‰·
2020/1/16,6.7
2020/1/17,7.3
2020/1/18,3.8
2020/1/19,6.5
2020/1/20,7.5
2020/1/21,7.4
2020/1/22,4.9
2020/1/23,6.1
2020/1/24,9.9
2020/1/25,7.8
2020/1/26,5
2020/1/27,5.1
2020/1/28,4.4
2020/1/29,11.8
2020/1/30,11.7
2020/1/31,8.1
2020/2/1,7.9
2020/2/2,8.7
2020/2/3,9.3
2020/2/4,7.9
2020/2/5,7.6
2020/2/6,2.9
2020/2/7,2.4
2020/2/8,6.2
2020/2/9,3.9
2020/2/10,4.6
2020/2/11,6.3
2020/2/12,8.7
2020/2/13,11.7
2020/2/14,12
2020/2/15,12.4
2020/2/16,9.3
2020/2/17,10.3
2020/2/18,7.6
2020/2/19,8.1
2020/2/20,9
2020/2/21,10
2020/2/22,12.5
2020/2/23,10.4
2020/2/24,9.8
2020/2/25,10.5
2020/2/26,8.1
2020/2/27,7
2020/2/28,7
2020/2/29,9.4
2020/3/1,12
2020/3/2,7.3
2020/3/3,11.3
2020/3/4,8.9
2020/3/5,9.2
2020/3/6,9.4
2020/3/7,7.3
2020/3/8,7.2
2020/3/9,13.1
2020/3/10,14.7
2020/3/11,15.3
2020/3/12,11.4
2020/3/13,12.5
2020/3/14,5.5
2020/3/15,7.1
2020/3/16,7.1
2020/3/17,7.7
2020/3/18,11.9
2020/3/19,14.6
2020/3/20,14.5
2020/3/21,13.8
2020/3/22,16.8
2020/3/23,10.3
2020/3/24,8.2
2020/3/25,10
2020/3/26,13
2020/3/27,16.2
2020/3/28,15.5
2020/3/29,3.6
2020/3/30,7.6
2020/3/31,9.8
2020/4/1,11.4
2020/4/2,13.9
2020/4/3,12.8
2020/4/4,15.7
2020/4/5,10.2
2020/4/6,12.1
2020/4/7,12.4
2020/4/8,14.3
2020/4/9,13.3
2020/4/10,11.2
2020/4/11,11.4
2020/4/12,10.3
2020/4/13,8
2020/4/14,10.9
2020/4/15,13.8
2020/4/16,11.7
2020/4/17,12.4
2020/4/18,12.9
2020/4/19,14.7
2020/4/20,9.7
2020/4/21,14.2
2020/4/22,13.5
2020/4/23,11.9
2020/4/24,12.2
2020/4/25,12.7
2020/4/26,18.3
2020/4/27,12.8
2020/4/28,12.3
2020/4/29,15.1
2020/4/30,18
2020/5/1,19.9
2020/5/2,20.6
2020/5/3,20.7
2020/5/4,19.3
2020/5/5,21.3
2020/5/6,15.8
2020/5/7,16.5
2020/5/8,16.7
2020/5/9,18.3
2020/5/10,21.5
2020/5/11,22.9
2020/5/12,21.7
2020/5/13,22.3
2020/5/14,20.8
2020/5/15,21.5
2020/5/16,18.5
2020/5/17,21.6
2020/5/18,19.2
2020/5/19,17.7
2020/5/20,12.7
2020/5/21,12.7
2020/5/22,15.3
2020/5/23,18.4
2020/5/24,20.8
2020/5/25,21.6
2020/5/26,20.9
2020/5/27,21.4
2020/5/28,19.4
2020/5/29,20.7
2020/5/30,22
2020/5/31,21.3
2020/6/1,19.6
2020/6/2,22.3
2020/6/3,24
2020/6/4,23.5
2020/6/5,24.8
2020/6/6,24.2
2020/6/7,22
2020/6/8,23.2
2020/6/9,25.5
2020/6/10,26.2
2020/6/11,25.1
2020/6/12,26.2
2020/6/13,21.3
2020/6/14,21.7
2020/6/15,25.9
2020/6/16,25.5
2020/6/17,23.6
2020/6/18,22.1
2020/6/19,18.7
2020/6/20,22.9
2020/6/21,21.9
2020/6/22,19.2
2020/6/23,22.3
2020/6/24,22.5
2020/6/25,20.2
2020/6/26,24.7
2020/6/27,25.5
2020/6/28,22.2
2020/6/29,24.9
2020/6/30,24.6
2020/7/1,25.1
2020/7/2,25.9
2020/7/3,23.8
2020/7/4,23.8
2020/7/5,24.9
2020/7/6,24.8
2020/7/7,27.2
2020/7/8,26
2020/7/9,23.7
2020/7/10,25.3
2020/7/11,27.5
2020/7/12,26
2020/7/13,21
2020/7/14,22.3
2020/7/15,20.4
2020/7/16,20.7
2020/7/17,19.3
2020/7/18,20.4
2020/7/19,24.3
2020/7/20,26.9
2020/7/21,25.5
2020/7/22,26.6
2020/7/23,23.2
2020/7/24,24.5
2020/7/25,25.1
2020/7/26,25.6
2020/7/27,26.3
2020/7/28,26.7
2020/7/29,22.9
2020/7/30,23.2
2020/7/31,24.8
2020/8/1,26.1
2020/8/2,26.3
2020/8/3,27.2
2020/8/4,28.3
2020/8/5,29.1
2020/8/6,28.5
2020/8/7,29.5
2020/8/8,28.1
2020/8/9,28.7
2020/8/10,30.5
2020/8/11,31.7
2020/8/12,30
2020/8/13,29.4
2020/8/14,29.4
2020/8/15,31
2020/8/16,31.2
2020/8/17,30.8
2020/8/18,30.3
2020/8/19,29
2020/8/20,29.7
2020/8/21,30.1
2020/8/22,29.3
2020/8/23,25.6
2020/8/24,27.2
2020/8/25,27.8
2020/8/26,28.8
2020/8/27,29.3
2020/8/28,30.2
2020/8/29,30.3
2020/8/30,30
2020/8/31,27.5
2020/9/1,24.9
2020/9/2,26.8
2020/9/3,28.4
2020/9/4,29.3
2020/9/5,28.6
2020/9/6,25.7
2020/9/7,26.7
2020/9/8,29.5
2020/9/9,29
2020/9/10,27.7
2020/9/11,28.3
2020/9/12,23.7
2020/9/13,23.3
2020/9/14,23.4
2020/9/15,23.8
2020/9/16,24
2020/9/17,24.9
2020/9/18,29
2020/9/19,24.7
2020/9/20,22.2
2020/9/21,22
2020/9/22,22.5
2020/9/23,20.2
2020/9/24,19
2020/9/25,19.4
2020/9/26,18.5
2020/9/27,19.7
2020/9/28,21.5
2020/9/29,19.7
2020/9/30,20
2020/10/1,19.5
2020/10/2,21
2020/10/3,21.7
2020/10/4,22
2020/10/5,21.7
2020/10/6,21
2020/10/7,18.3
2020/10/8,14.7
2020/10/9,14.5
2020/10/10,16
2020/10/11,19.8
2020/10/12,21.5
2020/10/13,22.1
2020/10/14,20.3
2020/10/15,16.8
2020/10/16,16.1
2020/10/17,12.7
2020/10/18,14.3
2020/10/19,13.1
2020/10/20,15.6
2020/10/21,16
2020/10/22,17.4
2020/10/23,16.8
2020/10/24,17.3
2020/10/25,15.5
2020/10/26,16.2
2020/10/27,16.7
2020/10/28,16.6
2020/10/29,17.3
2020/10/30,14.9
2020/10/31,13.8
2020/11/1,14.3
2020/11/2,15.6
2020/11/3,14.8
2020/11/4,13.7
2020/11/5,13.4
2020/11/6,12.8
2020/11/7,15.5
2020/11/8,17.3
2020/11/9,13.5
2020/11/10,11.9
2020/11/11,11.9
2020/11/12,10.2
2020/11/13,13.7
2020/11/14,14.7
2020/11/15,13.4
2020/11/16,14.7
2020/11/17,15.2
2020/11/18,15.8
2020/11/19,19.1
2020/11/20,21.9
2020/11/21,16.6
2020/11/22,15
2020/11/23,15.5
2020/11/24,11.8
2020/11/25,10.5
2020/11/26,12.8
2020/11/27,11.6
2020/11/28,11.8
2020/11/29,10.1
2020/11/30,9.9
